enzymes	short_names	genes	MWs	subSystems
P38697	IMD2	YHR216W	56.52936	sce00230  Purine metabolism // sce01110  Biosynthesis of secondary metabolites
P38698	PPX1	YHR201C	45.0509	 //  // 
P38703	LAG1	YHL003C	48.45392	sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism
P38705	DIA4	YHR011W	50.38946	sce00970  Aminoacyl-tRNA biosynthesis
P38707	DED81	YHR019C	62.20612	sce00970  Aminoacyl-tRNA biosynthesis
P38708	YHR020W	YHR020W	77.38534	sce00970  Aminoacyl-tRNA biosynthesis
P38709	YHL012W	YHL012W	55.99958	sce00040  Pentose and glucuronate interconversions // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01130  Biosynthesis of antibiotics // sce00040  Pentose and glucuronate interconversions // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01130  Biosynthesis of antibiotics
P38710	INM1	YHR046C	32.82276	sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system
P38714	MSR1	YHR091C	73.69334	sce00970  Aminoacyl-tRNA biosynthesis
P38715	GRE3	YHR104W	37.11831	sce00040  Pentose and glucuronate interconversions // sce00040  Pentose and glucuronate interconversions // sce00040  Pentose and glucuronate interconversions // sce00620  Pyruvate metabolism // sce00640  Propanoate metabolism // sce04011  MAPK signaling pathway - yeast // sce00040  Pentose and glucuronate interconversions
P38720	GND1	YHR183W	53.54274	sce00030  Pentose phosphate pathway // sce00480  Glutathione metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism
P38744	YHL018W	YHL018W	14.02597	 // 
P38773	DOG2	YHR043C	27.16473	 // 
P38774	DOG1	YHR044C	27.09953	 // 
P38787	PAN5	YHR063C	42.82079	sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites
P38790	HTD2	YHR067W	33.05481	 //  //  //  //  // 
P38791	DYS1	YHR068W	42.89183	
P38795	QNS1	YHR074W	80.68505	sce00760  Nicotinate and nicotinamide metabolism // sce00760  Nicotinate and nicotinamide metabolism // sce00760  Nicotinate and nicotinamide metabolism
P38812	GEP4	YHR100C	20.94493	sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism
P38816	TRR2	YHR106W	37.08697	sce00450  Selenocompound metabolism // sce00480  Glutathione metabolism
P38818	CTM1	YHR109W	68.2836	 // 
P38824	COX23	YHR116W	17.31758	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P38827	SET1	YHR119W	123.91112	 // 
P38840	ARO9	YHR137W	58.52706	 // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P38858	SOL3	YHR163W	27.78417	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism
P38891	BAT1	YHR208W	43.59553	 // sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
P38913	FAD1	YDL045C	35.54577	sce00740  Riboflavin metabolism // sce01110  Biosynthesis of secondary metabolites // 
P38929	PMC1	YGL006W	130.85978	
P38954	IPT1	YDR072C	60.87259	 //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  // 
P38972	ADE6	YGR061C	148.90358	sce00230  Purine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P38986	ASP1	YDR321W	41.3948	sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites
P38992	SUR2	YDR297W	40.73371	sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism
P38993	FET3	YMR058W	72.35915	
P38994	MSS4	YDR208W	89.31964	sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis // sce00562  Inositol phosphate metabolism // sce04011  MAPK signaling pathway - yeast // sce04070  Phosphatidylinositol signaling system // sce04139  Mitophagy - yeast // sce04144  Endocytosis
P38995	CCC2	YDR270W	109.82766	
P38998	LYS1	YIR034C	41.46445	sce00300  Lysine biosynthesis // sce00310  Lysine degradation // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids
P38999	LYS9	YNR050C	48.91735	sce00300  Lysine biosynthesis // sce00310  Lysine degradation // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids
P39002	FAA3	YIL009W	77.94558	sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome
P39006	PSD1	YNL169C	56.59416	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites
P39007	STT3	YGL022W	81.5281	 // 
P39104	PIK1	YNL267W	119.92203	sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system
P39105	PLB1	YMR008C	71.66665	sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism
P39109	YCF1	YDR135C	171.11959	 //  // 
P39111	VMA7	YGR020C	13.461	sce00190  Oxidative phosphorylation // sce04145  Phagosome // sce00190  Oxidative phosphorylation // sce04145  Phagosome
P39518	FAA2	YER015W	83.43704	sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome // sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome
P39522	ILV3	YJR016C	62.86049	sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
P39525	CEM1	YER061C	47.55478	sce00061  Fatty acid biosynthesis // sce00190  Oxidative phosphorylation // sce00780  Biotin metabolism // sce01212  Fatty acid metabolism // sce00061  Fatty acid biosynthesis // sce00190  Oxidative phosphorylation // sce00780  Biotin metabolism // sce01212  Fatty acid metabolism // sce00061  Fatty acid biosynthesis // sce00190  Oxidative phosphorylation // sce00780  Biotin metabolism // sce01212  Fatty acid metabolism
P39533	ACO2	YJL200C	86.58224	sce00300  Lysine biosynthesis // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids //  // sce00300  Lysine biosynthesis // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // 
P39540	ELO1	YJL196C	36.23342	sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism
P39676	YHB1	YGR234W	44.64584	 // 
P39683	NPT1	YOR209C	49.01793	sce00760  Nicotinate and nicotinamide metabolism // sce00760  Nicotinate and nicotinamide metabolism
P39692	MET10	YFR030W	114.82714	sce00920  Sulfur metabolism
P39708	GDH3	YAL062W	49.62653	sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00910  Nitrogen metabolism
P39713	BDH2	YAL061W	46.09814	 //  //  // 
P39714	BDH1	YAL060W	41.58155	sce00650  Butanoate metabolism // sce00650  Butanoate metabolism
P39726	GCV3	YAL044C	18.79276	Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism
P39730	FUN12	YAL035W	112.26703	sce00230  Purine metabolism // sce00240  Pyrimidine metabolism
P39954	SAH1	YER043C	49.12498	sce00270  Cysteine and methionine metabolism
P39965	AIM10	YER087W	65.8796	
P39976	DLD3	YEL071W	55.22438	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism
P39979	HPA3	YEL066W	18.81408	 // 
P39986	SPF1	YEL031W	135.26722	 // 
P39988	BUD16	YEL029C	35.55879	sce00750  Vitamin B6 metabolism
P40009	YND1	YER005W	71.85127	sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism
P40011	YER010C	YER010C	25.56305	 //  // 
P40012	HEM14	YER014W	59.70226	sce00860  Porphyrin and chlorophyll metabolism // sce01110  Biosynthesis of secondary metabolites
P40015	ISC1	YER019W	53.94002	sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism
P40017	YAT2	YER024W	103.33286	sce04146  Peroxisome
P40025	PHM8	YER037W	37.7185	sce00760  Nicotinate and nicotinamide metabolism // sce00760  Nicotinate and nicotinamide metabolism
P40029	MXR1	YER042W	21.1406	 // 
P40047	ALD5	YER073W	56.69214	Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00330  Arginine and proline metabolism // sce00340  Histidine metabolism // sce00380  Tryptophan metabolism // sce00410  beta-Alanine metabolism // sce00561  Glycerolipid metabolism // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00330  Arginine and proline metabolism // sce00340  Histidine metabolism // sce00380  Tryptophan metabolism // sce00410  beta-Alanine metabolism // sce00561  Glycerolipid metabolism // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // Gluconeogenesis // sce00010  Glycolysis // sce00340  Histidine metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00410  beta-Alanine metabolism // sce01110  Biosynthesis of secondary metabolites
P40054	SER3	YER081W	51.1927	sce00260  Glycine, serine and threonine metabolism // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P40086	COX15	YER141W	54.65792	
P40099	FAU1	YER183C	24.05857	sce00670  One carbon pool by folate //  // 
P40106	GPP2	YER062C	27.8134	sce00561  Glycerolipid metabolism // 
P40215	NDE1	YMR145C	62.77345	
