Chemicals	rxns	rxnNames	formulas	grRules	c	lb	ub	proteins	kcats	MWs	EC_number	¦Ì	qO2	ATP	Medium	Carbon source	deletion	
Farnesene	r_0355No1	dimethylallyltranstransferase (No1)	isopentenyl diphosphate[c] + prenyl diphosphate(3-)[c] => diphosphate[c] + geranyl diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Farnesene	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Farnesene	r_1012No1	squalene synthase (No1)	2 farnesyl diphosphate[c] + H+[c] + NADPH[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c]	YHR190W	0	0	1000	P29704	0.825	51.7193	2.5.1.21							
Farnesene	r_0470No1	glutamate dehydrogenase (NAD) (No1)	H2O[c] + L-glutamate[c] + NAD[c] => 2-oxoglutarate[c] + ammonium[c] + H+[c] + NADH[c]	YDL215C	0	0	1000	P33327	47.9999	124.331	1.4.1.2							
																		
Santalene	Santalene_1	farnesene synthase	farnesyl diphosphate[c] => alpha-Farnesene[c] + diphosphate[c]	AFS 	0	0	1000	Q84LB2	0.0613	66.183	4.2.3.46	0.05			Min	glucose	YDR503C,YDR284C,YOR375C	
Santalene	Santalene_2	farnesene transport	alpha-Farnesene[c] => alpha-Farnesene[e]		0	0	1000											
Santalene	Santalene_3	farnesene exchange	alpha-Farnesene[e] =>		0	0	1000											
Santalene	Santalene_4	santalene synthase	farnesyl diphosphate[c] => Santalene[c] + diphosphate[c]	SAS 	0	0	1000	E5LLI1	0.075	63.937	4.2.3.82							
Santalene	Santalene_5	farnesene transport	Santalene[c] => Santalene[e]		0	0	1000											
Santalene	Santalene_6	farnesene exchange	Santalene[e] =>		1	0	1000											
Santalene	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
Santalene	r_0355No1	dimethylallyltranstransferase (No1)	isopentenyl diphosphate[c] + prenyl diphosphate(3-)[c] => diphosphate[c] + geranyl diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Santalene	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Santalene	r_1012No1	squalene synthase (No1)	2 farnesyl diphosphate[c] + H+[c] + NADPH[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c]	YHR190W	0	0	1000	P29704	0.825	51.7193	2.5.1.21							
Santalene	r_0470No1	glutamate dehydrogenase (NAD) (No1)	H2O[c] + L-glutamate[c] + NAD[c] => 2-oxoglutarate[c] + ammonium[c] + H+[c] + NADH[c]	YDL215C	0	0	1000	P33327	47.9999	124.331	1.4.1.2							
								 										
lactase	lactase_1	production of lactase	2.01 GTP[c] + 0.6516 L-alanine[c] + 0.2643 L-arginine[c] + 0.5013 L-asparagine[c] + 0.4921 L-aspartate[c] + 0.0547 L-cysteine[c] + 0.4375 L-glutamate[c] + 0.2552 L-glutamine[c] + 0.9114 L-glycine[c] + 0.1276 L-histidine[c] + 0.4466 L-isoleucine[c] + 0.8567 L-leucine[c] + 0.4192 L-lysine[c] + 0.0638 L-methionine[c] + 0.3645 L-phenylalanine[c] + 0.4921 L-proline[c] + 0.8567 L-serine[c] + 0.7109 L-threonine[c] + 0.1823 L-tryptophan[c] + 0.5377 L-tyrosine[c] + 0.5559 L-valine[c] => 2.01 GDP[c] + 2.01 phosphate[c] + lactase[c]		0	0	1000					0.18			YEP	glucose		
lactase	lactase_2	lactase transport	lactase[c] => lactase[e]		0	0	1000											
lactase	lactase_3	lactase exchange	lactase[e] =>		1	0	1000											
																		
L-ornithine 	L-ornithine _1	Amino-acid acetyltransferase	acetyl-CoA[c] + L-glutamate[c] => coenzyme A[c] + N-acetyl-L-glutamate[c]	argA 	0	0	1000	P0A6C5	109.0489167	49.195	2.3.1.1	0.1			Min	glucose	YLR438W	
L-ornithine 	L-ornithine _2	Acetylglutamate kinase	ATP[c] + N-acetyl-L-glutamate[c] => ADP[c] + N-acetyl-L-gamma-glutamyl phosphate[c]	argB 	0	0	1000	P0A6C8	0.24444	27.16	2.7.2.8							
L-ornithine 	L-ornithine _3	N-acetyl-gamma-glutamyl-phosphate reductase	N-acetyl-L-gamma-glutamyl phosphate[c] + NADPH[c] + H+[c] => NADP(+)[c] + phosphate[c] + 2-acetamido-5-oxopentanoate[c]	argC 	0	0	1000	Q59279		35.888	1.2.1.38							
L-ornithine 	L-ornithine _4	acetylornithine aminotransferase	2-acetamido-5-oxopentanoate[c] + L-glutamate[c] => N(2)-acetyl-L-ornithine[c] + 2-oxoglutarate[c]	argD 	0	0	1000	Q59282		41.206	2.6.1.11							
L-ornithine 	L-ornithine _5	glutamate N-acetyltransferase	N(2)-acetyl-L-ornithine[c] + L-glutamate[c] => ornithine[c] + N-acetyl-L-glutamate[c]	argJ 	0	0	1000	Q59280	0.0099285	39.714	2.3.1.35							
L-ornithine 	r_1237 (update)	ornithine transport	H+[c] + ornithine[m] => H+[m] + ornithine[c]	ORT1	0	0	1000	Q12375	0.1816	31.52								
L-ornithine 	r_1118 (update)	aspartate-glutamate transporter	L-aspartate[m] + L-glutamate[c] => L-aspartate[c] + L-glutamate[m]	AGC1	0	0	1000	Q12482	0.01318  Identification and metabolic role of the mitochondrial aspartate-glutamate transporter in Saccharomyces cerevisiae	104.304								
L-ornithine 	r_0471No2	glutamate dehydrogenase (NADP) (No2)	pmet_r_0471[c] => H2O[c] + L-glutamate[c] + NADP(+)[c]	YOR375C	0	0	1000	P07262	106.66									
L-ornithine 	r_0816No1	ornithine carbamoyltransferase (No1)	carbamoyl phosphate[c] + ornithine[c] => H+[c] + L-citrulline[c] + phosphate[c]	YJL088W	0	0	1000	P05150	41									
L-ornithine 	r_1987				1	0	Inf											
																		
(S)-reticuline	(S)-reticuline_1	tyrosine hydroxylase	oxygen[c] + 2 L-tyrosine[c] => 2 3,4-Dihydroxy-L-phenylalanine(L-DOPA)[c]	CYP76AD1 	0	0	1000	I3PFJ5		56.212	1.14.18.1	0.1			YEP	glucose		
(S)-reticuline	(S)-reticuline_2	L-3,4-dihydroxyphenylalanine decarboxylase	3,4-Dihydroxy-L-phenylalanine(L-DOPA)[c] + H+[c] => carbon dioxide[c] + dopamine[c]	DODC 	0	0	1000	Q88JU5	1.8	51.444	4.1.1.28							
(S)-reticuline	(S)-reticuline_3	4-hydroxyphenylpyruvate decarboxylase (update)	3-(4-hydroxyphenyl)pyruvate[c] + H+[c] => carbon dioxide[c] + (4-hydroxyphenyl)acetaldehyde[c]	YDR380W 	0	0	1000	Q06408	11	71.384	4.1.1.80							
(S)-reticuline	(S)-reticuline_4	norcoclaurine synthase	dopamine[c] + (4-hydroxyphenyl)acetaldehyde[c] => H2O[c] + (S)-norcoclaurine[c]	NCS 	0	0	1000	B6E2Z2	5.8	26.001	4.2.1.78							
(S)-reticuline	(S)-reticuline_5	6-O-methyltransferase	(S)-norcoclaurine[c] + S-adenosyl-L-methionine[c] => S-adenosyl-L-homocysteine[c] + (S)-Coclaurine[c]	6OMT 	0	0	1000	Q6WUC1	0.08	38.511	2.1.1.128							
(S)-reticuline	(S)-reticuline_6	coclaurine N-methyltransferase	(S)-Coclaurine[c] + S-adenosyl-L-methionine[c] => S-adenosyl-L-homocysteine[c] + H+[c] + (S)-N-Methylcoclaurine[c]	CNMT 	0	0	1000	Q7XB08	0.000478707	41.032	2.1.1.140							
(S)-reticuline	(S)-reticuline_7	N-methylcoclaurine hydroxylase	(S)-N-Methylcoclaurine[c] + H+[c] + oxygen[c] + NADPH[c] => H2O[c] + NADP(+)[c] + (S)-3'-hydroxy-N-methylcoclaurine[c]	CYP80B1 	0	0	1000	O64899		54.644	1.14.14.102							
(S)-reticuline	(S)-reticuline_8	4¡ä-O-methyltransferase	(S)-3'-hydroxy-N-methylcoclaurine[c] + S-adenosyl-L-methionine[c] => S-adenosyl-L-homocysteine[c] + H+[c] + (S)-Reticuline[c]	4'OMT 	0	0	1000	Q7XB11	0.071869248	39.402	2.1.1.116							
(S)-reticuline	(S)-reticuline_9	(S)-Reticuline transport	(S)-Reticuline[c] => (S)-Reticuline[e]		0	0	1000											
(S)-reticuline	(S)-reticuline_10	(S)-Reticuline exchange	(S)-Reticuline[e] =>		1	0	1000											
																		
¦Â-ionone	¦Â-ionone_1	Bifunctional lycopene cyclase/phytoene synthase	2 geranylgeranyl diphosphate[c] => 2 diphosphate[c] + phytoene[c]	crtYB 	0	0	1000	Q7Z859	0.0834552	74.736	2.5.1.32	0.106			YEP	glucose	YDR284C,YDR503C	
¦Â-ionone	¦Â-ionone_2	Phytoene desaturase	phytoene[c] => neurosporene[c]	crtI 	0	0	1000	Q7Z858	0.000314486	65.066	1.3.99.28							
¦Â-ionone	¦Â-ionone_3	Phytoene desaturase	neurosporene[c] + oxygen[c] => 2 H2O[c] + lycopene[c]	crtI 	0	0	1000	Q7Z858	0.000314486	65.066	1.3.99.28							
¦Â-ionone	¦Â-ionone_4	Bifunctional lycopene cyclase/phytoene synthase	lycopene[c] => ¦Â-carotene[c]	crtYB 	0	0	1000	Q7Z859	0.4434336	74.736	5.5.1.19							
¦Â-ionone	¦Â-ionone_5	carotenoid cleavage dioxigenase	¦Â-carotene[c] + 2 oxygen[c] => C14-dialdehyde[c] + 2 ¦Â-ionone[c]	CCD1 	0	0	1000	Q6E4P3		61.311	1.13.11							
¦Â-ionone	¦Â-ionone_6	¦Â-ionone transport	¦Â-ionone[c] => ¦Â-ionone[e]		0	0	1000											
¦Â-ionone	¦Â-ionone_7	¦Â-ionone exchange	¦Â-ionone[e] =>		1	0	1000											
¦Â-ionone	¦Â-ionone_8	C14-dialdehyde transport	C14-dialdehyde[c] => C14-dialdehyde[e]		0	0	1000											
¦Â-ionone	¦Â-ionone_9	C14-dialdehyde exchange	 => C14-dialdehyde[e]		0	0	1000											
¦Â-ionone	r_0355No1	dimethylallyltranstransferase (No1)	isopentenyl diphosphate[c] + prenyl diphosphate(3-)[c] => diphosphate[c] + geranyl diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
¦Â-ionone	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
¦Â-ionone	r_1012No1	squalene synthase (No1)	2 farnesyl diphosphate[c] + H+[c] + NADPH[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c]	YHR190W	0	0	1000	P29704	0.825	51.7193	2.5.1.21							
¦Â-ionone	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
¦Â-ionone	r_0373No1	farnesyltranstransferase (No1)	farnesyl diphosphate[c] + isopentenyl diphosphate[c] => geranylgeranyl diphosphate[c] + diphosphate[c]	YPL069C	0	0	1000	Q12051	6.6									
																		
Xanthone	Xanthone_1	benzoic acid exchange	 => benzoic acid[e]		0	0	1000					0.1			YEP	glucose		
Xanthone	Xanthone_2	benzoic acid transport	benzoic acid[e] => benzoic acid[c]		0	0	1000											
Xanthone	Xanthone_3	benzoate:CoA ligase	benzoic acid[c] + coenzyme A[c] + ATP[c] => diphosphate[c] + AMP[c] + benzoyl-CoA[c]	BZL 	0	0	1000	Q53005	8	58.93	6.2.1.25							
Xanthone	Xanthone_4	benzophenone synthase	3 malonyl-CoA[c] + benzoyl-CoA[c] => 4 coenzyme A[c] + 3 carbon dioxide[c] + 2,4,6-Trihydroxybenzophenone[c]	BPS 	0	0	1000	A4ZYX5	0.055	43.039	2.3.1.220							
Xanthone	Xanthone_5	xanthone synthase	2 H+[c] + 2,4,6-Trihydroxybenzophenone[c] + 2 oxygen[c] + 2 NADPH[c] => 2 H2O[c] + 2 NADP(+)[c] + 1,3,5-trihydroxyxanthone[c]	TXS 	0	0	1000	A0A161I263		57.849								
Xanthone	Xanthone_6	xanthone transport	1,3,5-trihydroxyxanthone[c] => 1,3,5-trihydroxyxanthone[e]		0	0	1000											
Xanthone	Xanthone_7	xanthone exchange	1,3,5-trihydroxyxanthone[e] =>		1	0	1000											
Xanthone	r_0355No1	dimethylallyltranstransferase (No1)	isopentenyl diphosphate[c] + prenyl diphosphate(3-)[c] => diphosphate[c] + geranyl diphosphate[c]	YJL167W	0	0	1000	P08524	0.55	40.4829	2.5.1.1							
Xanthone	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	0.55	40.4829	2.5.1.1							
																		
tyrosine	tyrosine_1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c] 	ARO4K229L 	0	0	1000	P32449ly	0.082809792	39.7487	2.5.1.54	0.089			YEP	glucose	YDR035W,YBR249C,YDR380W,Zwf1	
tyrosine	tyrosine_2	tyrosine ammonia-lyase	L-tyrosine[c] => ammonium[c] + trans-4-coumarate[c]	TAL 	0	0	1000	Q3IWB0	0.9	54.914	4.3.1.23							
tyrosine	tyrosine_3	cyclohexadienyl dehydrogenase	prephenate[c] + NAD[c] => 3-(4-hydroxyphenyl)pyruvate[c] + carbon dioxide[c] + NADH[c]	TyrC 	0	0	1000	Q04983		32.051	1.3.1.12							
																		
triacylglycerol	triacylglycerol_1	triacylglycerols transport	triglyceride backbone[c] => triacylglycerol[e]		0	0	1000					0.1			Min	glucose	YMR313C,YKR089C,YOR081C,YPL147W	
triacylglycerol	triacylglycerol_2	triacylglycerols exchange	triacylglycerol[e] =>		1	0	1000											
triacylglycerol	r_0109No1	acetyl-CoA carboxylase, reaction (No1)	acetyl-CoA[c] + ATP[c] + bicarbonate[c] + 6.17284e-10 prot_P48445 => ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c]	YNR016C	0	0	1000	Q00955	65.3426									
triacylglycerol	r_2344No1	PA phosphatase (1-16:0, 2-16:1), ER membrane (No1)	H2O[erm] + phosphatidate (1-16:0, 2-16:1)[erm] => phosphate[erm] + diglyceride (1-16:0, 2-16:1)[erm]	YMR165C	0	0	1000	P32567	23.1467									
triacylglycerol	r_2345No1	PA phosphatase (1-16:0, 2-18:1), ER membrane (No1)	H2O[erm] + phosphatidate (1-16:0, 2-18:1)[erm] => phosphate[erm] + diglyceride (1-16:0, 2-18:1)[erm]	YMR165C	0	0	1000	P32567	23.1467									
triacylglycerol	r_2346No1	PA phosphatase (1-16:1, 2-16:1), ER membrane (No1)	H2O[erm] + phosphatidate (1-16:1, 2-16:1)[erm] => phosphate[erm] + diglyceride (1-16:1, 2-16:1)[erm]	YMR165C	0	0	1000	P32567	23.1467									
triacylglycerol	r_2347No1	PA phosphatase (1-16:1, 2-18:1), ER membrane (No1)	H2O[erm] + phosphatidate (1-16:1, 2-18:1)[erm] => phosphate[erm] + diglyceride (1-16:1, 2-18:1)[erm]	YMR165C	0	0	1000	P32567	23.1467									
triacylglycerol	r_2348No1	PA phosphatase (1-18:0, 2-16:1), ER membrane (No1)	H2O[erm] + phosphatidate (1-18:0, 2-16:1)[erm] => phosphate[erm] + diglyceride (1-18:0, 2-16:1)[erm]	YMR165C	0	0	1000	P32567	23.1467									
triacylglycerol	r_2349No1	PA phosphatase (1-18:0, 2-18:1), ER membrane (No1)	H2O[erm] + phosphatidate (1-18:0, 2-18:1)[erm] => phosphate[erm] + diglyceride (1-18:0, 2-18:1)[erm]	YMR165C	0	0	1000	P32567	23.1467									
triacylglycerol	r_2350No1	PA phosphatase (1-18:1, 2-16:1), ER membrane (No1)	H2O[erm] + phosphatidate (1-18:1, 2-16:1)[erm] => phosphate[erm] + diglyceride (1-18:1, 2-16:1)[erm]	YMR165C	0	0	1000	P32567	23.1467									
triacylglycerol	r_2351No1	PA phosphatase (1-18:1, 2-18:1), ER membrane (No1)	H2O[erm] + phosphatidate (1-18:1, 2-18:1)[erm] => phosphate[erm] + diglyceride (1-18:1, 2-18:1)[erm]	YMR165C	0	0	1000	P32567	23.1467									
																		
ARA	ARA_1	Delta9-desaturase	H+[erm] + stearoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + oleoyl-CoA[erm]	D9D 	0	0	1000	D5KSD1		50.809	1.14.19.1	0.1			Min	glucose		
ARA	ARA_2	Delta12-desaturase	H+[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + linoleoyl-CoA[erm]	D12D 	0	0	1000	Q9Y8H5		46.001	1.14.19.6							
ARA	ARA_3	Omega-3 desaturase	linoleoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (9Z,12Z,15Z)-Octadecatrienoyl-CoA[erm]	FAD3 	0	0	1000	D5KSD6		47.718	1.14.19.-							
ARA	ARA_4	Delta6-desaturase 	linoleoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (6Z,9Z,12Z)-octadecatrienoyl-CoA[erm]	D6D 	0	0	1000	A0A1Y5I9G7		51.674	1.14.19.3							
ARA	ARA_5	Delta6-desaturase 	(9Z,12Z,15Z)-Octadecatrienoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA[erm]	D6D 	0	0	1000	A0A1Y5I9G7		51.674	1.14.19.3							
ARA	ARA_6	Delta6-elongase	(6Z,9Z,12Z)-octadecatrienoyl-CoA[erm] + 2 NADPH[erm] + malonyl-CoA[erm] + 3 H+[erm] => coenzyme A[erm] + carbon dioxide[erm] + H2O[erm] + NADP(+)[erm] + (8Z,11Z,14Z)-eicosatrienoyl-CoA[erm]	D6E 	0	0	1000	D5KSD4		36.746	2.3.1.199							
ARA	ARA_7	Delta6-elongase	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA[erm] + 2 NADPH[erm] + malonyl-CoA[erm] + 3 H+[erm] => coenzyme A[erm] + carbon dioxide[erm] + H2O[erm] + NADP(+)[erm] + (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[erm]	D6E 	0	0	1000	D5KSD4		36.746	2.3.1.199							
ARA	ARA_8	Delta-5 desaturase	(8Z,11Z,14Z)-eicosatrienoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[erm]	D5D 	0	0	1000	HQ678517		59.89	1.14.19.44							
ARA	ARA_9	Delta-5 desaturase	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[erm]	D5D 	0	0	1000	HQ678517		59.89	1.14.19.44							
ARA	ARA_10	ARA-CoA transport	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[erm] => (5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[p]		0	0	1000											
ARA	ARA_11	peroxisomal acyl-CoA thioesterase	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[p] + H2O[p] => H+[p] + coenzyme A[p] + (5Z,8Z,11Z,14Z)-eicosatetraenoate (ARA)[p]	YJR019C	0	0	1000	P41903			3.1.2.2							
ARA	ARA_12	ARA transport	(5Z,8Z,11Z,14Z)-eicosatetraenoate (ARA)[p] => ARA[e]		0	0	1000											
ARA	ARA_13	ARA exchange	ARA[e] =>		1	0	1000											
ARA	ARA_14	EPA-CoA transport	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[erm] => (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[p]		0	0	1000											
ARA	ARA_15	peroxisomal acyl-CoA thioesterase	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[p] + H2O[p] => H+[p] + coenzyme A[p] + (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate (EPA)[p]	YJR019C	0	0	1000	P41903			3.1.2.2							
ARA	ARA_16	EPA transport	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate (EPA)[p] => EPA[e]		0	0	1000											
ARA	ARA_17	EPA exchange	EPA[e] =>		0	0	1000											
ARA	ARA_18	Delta5-elongase	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[erm] + 2 NADPH[erm] + malonyl-CoA[erm] + 3 H+[erm] => coenzyme A[erm] + carbon dioxide[erm] + H2O[erm] + NADP(+)[erm] + (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[erm]		0	0	1000											
ARA	ARA_19	Delta-4 desaturase	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[erm]		0	0	1000											
ARA	ARA_20	EPA-CoA transport	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[erm] => (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[p]		0	0	1000											
ARA	ARA_21	peroxisomal acyl-CoA thioesterase	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[p] + H2O[p] => H+[p] + coenzyme A[p] + (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate (DHA)[p]	YJR019C	0	0	1000	P41903			3.1.2.2							
ARA	ARA_22	EPA transport	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate (DHA)[p] => DHA[e]		0	0	1000											
ARA	ARA_23	EPA exchange	DHA[e] =>		0	0	1000											
																		
EPA	EPA_1	Delta9-desaturase	H+[erm] + stearoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + oleoyl-CoA[erm]	D9D 	0	0	1000	D5KSD1		50.809	1.14.19.1	0.1			Min	glucose		
EPA	EPA_2	Delta12-desaturase	H+[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + linoleoyl-CoA[erm]	D12D 	0	0	1000	Q9Y8H5		46.001	1.14.19.6							
EPA	EPA_3	Omega-3 desaturase	linoleoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (9Z,12Z,15Z)-Octadecatrienoyl-CoA[erm]	FAD3 	0	0	1000	D5KSD6		47.718	1.14.19.-							
EPA	EPA_4	Delta6-desaturase 	linoleoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (6Z,9Z,12Z)-octadecatrienoyl-CoA[erm]	D6D 	0	0	1000	A0A1Y5I9G7		51.674	1.14.19.3							
EPA	EPA_5	Delta6-desaturase 	(9Z,12Z,15Z)-Octadecatrienoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA[erm]	D6D 	0	0	1000	A0A1Y5I9G7		51.674	1.14.19.3							
EPA	EPA_6	Delta6-elongase	(6Z,9Z,12Z)-octadecatrienoyl-CoA[erm] + 2 NADPH[erm] + malonyl-CoA[erm] + 3 H+[erm] => coenzyme A[erm] + carbon dioxide[erm] + H2O[erm] + NADP(+)[erm] + (8Z,11Z,14Z)-eicosatrienoyl-CoA[erm]	D6E 	0	0	1000	D5KSD4		36.746	2.3.1.199							
EPA	EPA_7	Delta6-elongase	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA[erm] + 2 NADPH[erm] + malonyl-CoA[erm] + 3 H+[erm] => coenzyme A[erm] + carbon dioxide[erm] + H2O[erm] + NADP(+)[erm] + (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[erm]	D6E 	0	0	1000	D5KSD4		36.746	2.3.1.199							
EPA	EPA_8	Delta-5 desaturase	(8Z,11Z,14Z)-eicosatrienoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[erm]	D5D 	0	0	1000	HQ678517		59.89	1.14.19.44							
EPA	EPA_9	Delta-5 desaturase	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[erm]	D5D 	0	0	1000	HQ678517		59.89	1.14.19.44							
EPA	EPA_10	ARA-CoA transport	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[erm] => (5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[p]		0	0	1000											
EPA	EPA_11	peroxisomal acyl-CoA thioesterase	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[p] + H2O[p] => H+[p] + coenzyme A[p] + (5Z,8Z,11Z,14Z)-eicosatetraenoate (ARA)[p]	YJR019C	0	0	1000	P41903			3.1.2.2							
EPA	EPA_12	ARA transport	(5Z,8Z,11Z,14Z)-eicosatetraenoate (ARA)[p] => ARA[e]		0	0	1000											
EPA	EPA_13	ARA exchange	ARA[e] =>		0	0	1000											
EPA	EPA_14	EPA-CoA transport	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[erm] => (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[p]		0	0	1000											
EPA	EPA_15	peroxisomal acyl-CoA thioesterase	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[p] + H2O[p] => H+[p] + coenzyme A[p] + (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate (EPA)[p]	YJR019C	0	0	1000	P41903			3.1.2.2							
EPA	EPA_16	EPA transport	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate (EPA)[p] => EPA[e]		0	0	1000											
EPA	EPA_17	EPA exchange	EPA[e] =>		1	0	1000											
EPA	EPA_18	Delta5-elongase	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[erm] + 2 NADPH[erm] + malonyl-CoA[erm] + 3 H+[erm] => coenzyme A[erm] + carbon dioxide[erm] + H2O[erm] + NADP(+)[erm] + (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[erm]		0	0	1000											
EPA	EPA_19	Delta-4 desaturase	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[erm]		0	0	1000											
